Date,CreativeID,Impressions,Clicks,VideoStarts,VideoCompletions,OperatingSystem,DayofWeek,Site,SiteCategory,CreativeName,MediaFormat,CreativeCategory,CreativeFormat,ClickThroughRate,VideoCompletionRate,VideoStartRate
29/04/2018,692,4,0,0,0,Other,7,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
29/04/2018,692,54,0,12,3,Android,7,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,25.0,22.22222222222222
29/04/2018,692,2,0,0,0,Android,7,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
29/04/2018,692,83,8,52,24,Other,7,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,9.63855421686747,46.15384615384615,62.65060240963856
29/04/2018,692,1726,5,945,405,iOS,7,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.28968713789107764,42.857142857142854,54.750869061413674
29/04/2018,692,3,0,1,0,iOS,7,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,33.33333333333333
29/04/2018,692,453,3,206,104,Android,7,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.6622516556291391,50.48543689320388,45.47461368653421
29/04/2018,692,342,2,204,89,iOS,7,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.5847953216374269,43.627450980392155,59.64912280701754
29/04/2018,692,15,0,6,0,Other,7,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,40.0
29/04/2018,692,6,0,3,2,Android,7,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,66.66666666666666,50.0
29/04/2018,692,49,0,20,8,iOS,7,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,40.0,40.816326530612244
29/04/2018,692,40,0,12,8,iOS,7,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,66.66666666666666,30.0
30/04/2018,692,334,2,76,38,Android,1,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.5988023952095809,50.0,22.75449101796407
30/04/2018,692,233,1,72,20,Android,1,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.4291845493562232,27.77777777777778,30.90128755364807
30/04/2018,692,368,2,144,58,iOS,1,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.5434782608695652,40.27777777777778,39.130434782608695
30/04/2018,692,121,0,77,22,iOS,1,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,28.57142857142857,63.63636363636363
30/04/2018,692,1,0,0,0,Other,1,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
30/04/2018,692,51,0,19,4,Android,1,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,21.052631578947366,37.254901960784316
30/04/2018,692,7,0,0,0,Android,1,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
30/04/2018,692,83,6,52,27,Other,1,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,7.228915662650602,51.92307692307693,62.65060240963856
30/04/2018,692,1751,7,1021,433,iOS,1,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.3997715591090805,42.40940254652302,58.30953740719589
30/04/2018,692,3,0,1,0,iOS,1,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,33.33333333333333
30/04/2018,692,2,0,0,0,Other,1,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
30/04/2018,692,532,2,205,94,Android,1,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.37593984962406013,45.85365853658537,38.53383458646616
30/04/2018,692,1,0,1,0,Other,1,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,100.0
30/04/2018,692,2,0,2,2,Other,1,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,100.0,100.0
30/04/2018,692,467,6,264,106,iOS,1,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.284796573875803,40.15151515151515,56.53104925053534
30/04/2018,692,3,0,0,0,iOS,1,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
30/04/2018,692,11,0,4,0,Other,1,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,36.36363636363637
30/04/2018,692,2,0,1,1,Android,1,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,100.0,50.0
30/04/2018,692,14,0,2,1,Android,1,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,50.0,14.285714285714285
30/04/2018,692,74,1,22,6,iOS,1,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.3513513513513513,27.27272727272727,29.72972972972973
30/04/2018,692,18,0,5,2,iOS,1,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,40.0,27.77777777777778
01/05/2018,692,104,0,16,5,Android,2,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,31.25,15.384615384615385
01/05/2018,692,211,4,53,12,Android,2,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.8957345971563981,22.641509433962266,25.118483412322274
01/05/2018,692,136,2,51,24,iOS,2,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.4705882352941175,47.05882352941176,37.5
01/05/2018,692,72,0,37,18,iOS,2,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,48.64864864864865,51.388888888888886
01/05/2018,692,134,2,22,9,Android,2,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.4925373134328357,40.909090909090914,16.417910447761194
01/05/2018,692,51,5,28,13,Other,2,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,9.803921568627452,46.42857142857143,54.90196078431373
01/05/2018,692,1589,10,842,317,iOS,2,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.6293266205160478,37.648456057007124,52.98930144745123
01/05/2018,692,1,0,0,0,iOS,2,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
01/05/2018,692,1,0,1,0,Other,2,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,100.0
01/05/2018,692,637,6,273,133,Android,2,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.9419152276295133,48.717948717948715,42.857142857142854
01/05/2018,692,2,0,1,0,Other,2,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,50.0
01/05/2018,692,453,0,250,102,iOS,2,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,40.8,55.18763796909493
01/05/2018,692,8,0,3,0,Other,2,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,37.5
01/05/2018,692,5,0,0,0,Android,2,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
01/05/2018,692,14,0,3,2,Android,2,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,66.66666666666666,21.428571428571427
01/05/2018,692,26,1,12,5,iOS,2,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,3.8461538461538463,41.66666666666667,46.15384615384615
01/05/2018,692,33,0,15,9,iOS,2,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,60.0,45.45454545454545
02/05/2018,692,217,1,34,18,Android,3,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.4608294930875576,52.94117647058824,15.668202764976957
02/05/2018,692,231,1,77,23,Android,3,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.4329004329004329,29.87012987012987,33.33333333333333
02/05/2018,692,214,2,85,39,iOS,3,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.9345794392523363,45.88235294117647,39.719626168224295
02/05/2018,692,106,1,56,26,iOS,3,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.9433962264150944,46.42857142857143,52.83018867924528
02/05/2018,692,4,0,0,0,Other,3,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
02/05/2018,692,155,3,36,15,Android,3,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.935483870967742,41.66666666666667,23.225806451612904
02/05/2018,692,1,0,0,0,Android,3,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
02/05/2018,692,1,0,1,0,Other,3,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,100.0
02/05/2018,692,1639,14,850,363,iOS,3,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.8541793776693106,42.705882352941174,51.86089078706529
02/05/2018,692,1,0,0,0,Android,3,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
02/05/2018,692,899,11,406,226,Android,3,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.2235817575083427,55.66502463054187,45.16129032258064
02/05/2018,692,2,0,0,0,Other,3,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
02/05/2018,692,561,2,291,120,iOS,3,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.35650623885918004,41.23711340206185,51.87165775401069
02/05/2018,692,14,0,5,0,Other,3,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,35.714285714285715
02/05/2018,692,18,0,4,0,Android,3,The TV News,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,22.22222222222222
02/05/2018,692,6,0,0,0,Android,3,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
02/05/2018,692,31,0,14,9,Android,3,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,64.28571428571429,45.16129032258064
02/05/2018,692,27,0,6,3,iOS,3,The TV News,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,50.0,22.22222222222222
02/05/2018,692,22,0,8,4,iOS,3,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,50.0,36.36363636363637
02/05/2018,692,49,0,22,16,iOS,3,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,72.72727272727273,44.89795918367347
03/05/2018,692,344,0,63,25,Android,4,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,39.682539682539684,18.313953488372093
03/05/2018,692,236,2,79,24,Android,4,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.847457627118644,30.37974683544304,33.47457627118644
03/05/2018,692,444,3,186,72,iOS,4,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.6756756756756757,38.70967741935484,41.891891891891895
03/05/2018,692,95,0,50,18,iOS,4,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,36.0,52.63157894736842
03/05/2018,692,1,0,0,0,Other,4,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
03/05/2018,692,4,0,0,0,Other,4,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
03/05/2018,692,2,0,0,0,Other,4,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
03/05/2018,692,94,0,10,6,Android,4,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,60.0,10.638297872340425
03/05/2018,692,19,0,0,0,Android,4,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
03/05/2018,692,16,0,11,4,Other,4,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,36.36363636363637,68.75
03/05/2018,692,1,0,0,0,Other,4,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
03/05/2018,692,1641,5,855,332,iOS,4,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.30469226081657524,38.83040935672515,52.10237659963437
03/05/2018,692,35,0,10,2,iOS,4,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,20.0,28.57142857142857
03/05/2018,692,2,0,0,0,Other,4,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
03/05/2018,692,1,0,1,0,Android,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,100.0
03/05/2018,692,770,6,362,193,Android,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.7792207792207793,53.31491712707182,47.01298701298701
03/05/2018,692,1,0,0,0,Other,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
03/05/2018,692,2,0,2,1,Other,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,50.0,100.0
03/05/2018,692,687,5,358,160,iOS,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.727802037845706,44.6927374301676,52.11062590975255
03/05/2018,692,1,0,1,0,iOS,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,100.0
03/05/2018,692,13,0,1,0,Other,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,7.6923076923076925
03/05/2018,692,49,0,7,1,Android,4,The TV News,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,14.285714285714285,14.285714285714285
03/05/2018,692,2,0,0,0,Android,4,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
03/05/2018,692,15,0,8,2,Android,4,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,25.0,53.333333333333336
03/05/2018,692,53,0,16,4,iOS,4,The TV News,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,25.0,30.18867924528302
03/05/2018,692,61,0,7,2,iOS,4,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,28.57142857142857,11.475409836065573
03/05/2018,692,29,0,12,8,iOS,4,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,66.66666666666666,41.37931034482759
04/05/2018,692,465,2,78,20,Android,5,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.43010752688172044,25.64102564102564,16.7741935483871
04/05/2018,692,146,4,36,7,Android,5,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,2.73972602739726,19.444444444444446,24.65753424657534
04/05/2018,692,345,2,132,48,iOS,5,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.5797101449275363,36.36363636363637,38.26086956521739
04/05/2018,692,140,0,84,28,iOS,5,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,33.33333333333333,60.0
04/05/2018,692,2,0,1,0,Other,5,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,50.0
04/05/2018,692,4,0,0,0,Other,5,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
04/05/2018,692,59,0,11,5,Android,5,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,45.45454545454545,18.64406779661017
04/05/2018,692,14,1,8,6,Other,5,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,7.142857142857142,75.0,57.14285714285714
04/05/2018,692,1706,15,1022,444,iOS,5,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.8792497069167644,43.444227005870836,59.90621336459554
04/05/2018,692,1,0,0,0,iOS,5,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
04/05/2018,692,1,0,0,0,Other,5,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
04/05/2018,692,619,4,285,162,Android,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.6462035541195477,56.84210526315789,46.04200323101777
04/05/2018,692,3,0,2,2,Other,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,100.0,66.66666666666666
04/05/2018,692,2,0,2,2,iOS,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,100.0,100.0
04/05/2018,692,637,7,343,155,iOS,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.098901098901099,45.18950437317784,53.84615384615385
04/05/2018,692,20,1,5,0,Other,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,5.0,0.0,25.0
04/05/2018,692,28,1,3,0,Android,5,The TV News,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,3.571428571428571,0.0,10.714285714285714
04/05/2018,692,5,0,0,0,Android,5,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
04/05/2018,692,20,0,7,3,Android,5,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,42.857142857142854,35.0
04/05/2018,692,42,1,13,3,iOS,5,The TV News,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,2.380952380952381,23.076923076923077,30.952380952380953
04/05/2018,692,78,0,19,6,iOS,5,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,31.57894736842105,24.358974358974358
